student_id,student_name,contact_no,university,made_by
1,Steven Thompson,(999)896-2524,University B,Arindam_Singh_2K22_EC_049
2,Joshua Avila,001-835-320-6738x535,University A,Arindam_Singh_2K22_EC_049
3,Jamie Hood,001-556-310-5596,University C,Arindam_Singh_2K22_EC_049
4,Nicole Mcgee,580-585-1960x642,University C,Arindam_Singh_2K22_EC_049
5,Samantha Knight,6124475898,University D,Arindam_Singh_2K22_EC_049
6,Craig Simpson,930.704.7388x15565,University C,Arindam_Singh_2K22_EC_049
7,Patrick White,001-520-740-8914,University D,Arindam_Singh_2K22_EC_049
8,Laura Edwards,202.214.3064,University A,Arindam_Singh_2K22_EC_049
9,Tracy Rosales,781.393.0717,University D,Arindam_Singh_2K22_EC_049
10,Ariel Mccormick,347.239.4405,University A,Arindam_Singh_2K22_EC_049
11,Deborah Williamson,492-207-6402x709,University B,Arindam_Singh_2K22_EC_049
12,Vincent Higgins,835-663-7153x798,University B,Arindam_Singh_2K22_EC_049
13,Michael Chan,+1-724-452-8858,University A,Arindam_Singh_2K22_EC_049
14,Jessica Palmer,+1-566-454-8914,University D,Arindam_Singh_2K22_EC_049
15,Katherine Hodge,270-774-5378x8746,University A,Arindam_Singh_2K22_EC_049
16,Sara Brooks,(428)503-7601x78638,University C,Arindam_Singh_2K22_EC_049
17,Amanda Mays,9674630660,University B,Arindam_Singh_2K22_EC_049
18,Meghan Vincent,+1-375-853-4560x44234,University D,Arindam_Singh_2K22_EC_049
19,Michael Brown,+1-315-655-4432x71313,University A,Arindam_Singh_2K22_EC_049
20,Alexandria Jones,732.261.7948,University B,Arindam_Singh_2K22_EC_049
21,Mrs. Jennifer Beck,001-618-321-8102x7864,University C,Arindam_Singh_2K22_EC_049
22,Elizabeth Cross,4658731524,University D,Arindam_Singh_2K22_EC_049
23,Louis Olsen,678.687.6866x13511,University B,Arindam_Singh_2K22_EC_049
24,Jennifer Love,214-825-9875x9300,University C,Arindam_Singh_2K22_EC_049
25,Dustin Long,543-992-5640x2882,University A,Arindam_Singh_2K22_EC_049
26,Walter Miller,001-464-565-9307,University A,Arindam_Singh_2K22_EC_049
27,David Martin,+1-416-650-4413x310,University B,Arindam_Singh_2K22_EC_049
28,Carol Lamb,001-991-407-4112x0812,University A,Arindam_Singh_2K22_EC_049
29,Stacy Moore,3605492573,University A,Arindam_Singh_2K22_EC_049
30,Christopher Hanson,700.746.8467,University B,Arindam_Singh_2K22_EC_049
31,Adriana Baker,001-933-486-9818,University C,Arindam_Singh_2K22_EC_049
32,Michael Elliott,+1-411-374-1546x62436,University A,Arindam_Singh_2K22_EC_049
33,Brandon Allen,+1-764-509-0941x67133,University C,Arindam_Singh_2K22_EC_049
34,Angelica Vargas,420-410-3449,University A,Arindam_Singh_2K22_EC_049
